WORD,★,TYPE,😠,💩,🐸,🤡,👩🏼,🐷,👳🏽,✊🏻,☝🏽,?
muffdive,2,NOUN,,,,,,TRUE,,,,FALSE
chink a billies,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,FALSE
bastard,4,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
sewerrat,3,NOUN,,,TRUE,,,,,,,FALSE
feltching,1,VERB,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
spades,4,NOUN,,,,,,,TRUE,,,TRUE
nigette,4,NOUN,,,,,,,TRUE,,,FALSE
snake,3,NOUN,,,TRUE,,TRUE,,,,,TRUE
mamzer,4,NOUN,,,TRUE,,,,,,,FALSE
border banditos,3,NOUN,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ejaculation,0,NOUN,,,,,,TRUE,,,,FALSE
kaffre,3,NOUN,,,,,,,,,TRUE,FALSE
sexhouse,1,NOUN,TRUE,FALSE,,,,TRUE,,,,FALSE
trout,2,NOUN,,,,,TRUE,,,,,TRUE
dickwad,3,NOUN,,,TRUE,,,,,,,FALSE
dickhead,3,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
eh hole,3,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
scobe,3,NOUN,TRUE,,,,,,,,,FALSE
pissoff,2,VERB,,TRUE,,,,,,,,FALSE
dingleberry,1,NOUN,,TRUE,,,,,,,,FALSE
nitchie,3,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
boxheads,2,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
albino,0,NOUN,,,,,,,TRUE,,,FALSE
bruise,0,NOUN,TRUE,,,,,,,,,FALSE
mulattos,3,NOUN,,,,,,,TRUE,,,FALSE
addicts,1,NOUN,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
hunyak,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ϟ,4,:),,,,,,,,TRUE,,FALSE
masterblaster,1,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
pancake face,3,NOUN,,,,,,,TRUE,,,FALSE
tinkers,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
cotton picker,4,NOUN,,,,,,,TRUE,,,FALSE
bogeyman,2,NOUN,,,TRUE,,,,,,,FALSE
reffo,4,NOUN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
braindead,3,ADJ,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
junkie,1,NOUN,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dong,2,NOUN,,TRUE,,,,TRUE,,,,FALSE
clamheads,2,NOUN,,,,,,,,,TRUE,FALSE
sexed,1,ADJ,,,,,,TRUE,,,,FALSE
fingerfood,1,NOUN,,,,,,TRUE,,,,FALSE
hoser,3,NOUN,TRUE,,,,,,,,,FALSE
batimen,3,NOUN,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
pud,1,NOUN,,,,,,TRUE,,,,FALSE
